id,price, diagonal, cpu, rom, ram, camera, battery, ppi
Meizu U10 32GB  Silver White                                ,  11990.00,     5.0,    1.50,    32.0,    3072,      13,    2760,     293
ZTE Blade A510  Grey                                        ,   7011.00,     5.0,    1.00,     8.0,    1024,      13,    2200,     293
Huawei P9 Lite (VNS-L21)  Gold                              ,  14190.00,     5.2,    2.00,    16.0,    2048,      13,    3000,     423
Meizu M5 32GB  Black                                        ,  12990.00,     5.2,    1.50,    32.0,    3072,      13,    3070,     282
ZTE Blade L370  Black                                       ,   4990.00,     5.0,    1.30,     8.0,    1024,       8,    2000,     195
BQ Aquaris M5.5 16+3GB  White                               ,  18072.00,     5.5,    1.50,    16.0,    3072,      13,    3620,     400
Samsung SM-G930F Galaxy S7 (32GB)  Silver                   ,  39990.00,     5.1,    2.30,    32.0,    4096,      12,    3000,     575
Alcatel OT-4034D Pixi 4 (4.0)  Black                        ,   3160.00,     4.0,    1.30,     4.0,     512,       3,    1500,     233
Sony Xperia XA  Graphite Black                              ,  13989.70,     5.0,    2.00,    16.0,    2048,      13,    2300,     293
ZTE Blade L5 Plus  Black                                    ,   6790.00,     5.0,    1.30,     8.0,    1024,       8,    2150,     293
Meizu Pro 6 64GB  Rose Gold                                 ,  25990.00,     5.2,    2.50,    64.0,    4096,      21,    2560,     423
BQ Aquaris X5 Plus  Black                                   ,  17290.00,     5.0,    1.80,    16.0,    2048,      16,    3200,     440
Sony Xperia X Compact  Mist Blue                            ,  24989.90,     4.6,    1.80,    32.0,    3072,      23,    2700,     319
ZTE Blade V7  Rose                                          ,  14590.00,     5.2,    1.30,    16.0,    2048,      13,    2540,     423
Lenovo Vibe Shot (Z90A40)  Red (PA1K0161RU)                 ,  16890.00,     5.0,    1.70,    32.0,    3072,      16,    2900,     440
HTC 10 Lifestyle  Topaz Gold                                ,  27990.00,     5.2,    1.80,    32.0,    3072,      12,    3000,     564
Apple iPhone 7 Plus (PRODUCT)RED Special Edition 128GB      ,  58991.40,     5.5,    2.37,     8.0,    3072,      12,    2900,     400
ZTE Nubia Z11 Max  Grey                                     ,  22072.00,     6.0,    1.80,    64.0,    4096,      16,    4000,     367
Samsung SM-G925F Galaxy S6 Edge (128 GB)  White             ,  47690.00,     5.1,    2.10,   128.0,    3072,      16,    2600,     575
ZTE Blade L4 Pro  Black                                     ,   7821.00,     5.0,    1.00,     8.0,    1024,       8,    2200,     293
Samsung SM-G935F Galaxy S7 Edge (32GB)  Black               ,  49990.00,     5.5,    2.30,    32.0,    4096,      12,    3600,     534
Alcatel OT-4034D Pixi 4 (4.0)  Black White                  ,   3059.00,     4.0,    1.30,     4.0,     512,       3,    1500,     233
Sony Xperia XA  White                                       ,  13989.70,     5.0,    2.00,    16.0,    2048,      13,    2300,     293
